co2,temperature,humidity,rainfall,pyrano
592.0,24.394,100.0,0.0,0.0
592.0,24.394,100.0,0.0,0.0
592.0,24.338,100.0,0.0,0.0
592.0,24.311,100.0,0.0,0.0
562.0,24.311,100.0,0.0,0.0
558.0,24.268,100.0,0.0,0.0
556.0,24.38,100.0,0.0,0.0
559.0,24.282,100.0,0.0,0.0
555.0,24.311,100.0,0.0,0.0
554.0,24.268,100.0,0.0,0.0
559.0,24.255,100.0,0.0,0.0
557.0,24.156,100.0,0.0,0.0
555.0,24.212,100.0,0.0,0.0
554.0,24.338,100.0,0.0,0.0
554.0,24.298,100.0,0.0,0.0
552.0,24.212,100.0,0.0,0.0
549.0,24.255,100.0,0.0,0.0
549.0,24.255,100.0,0.0,0.0
548.0,24.212,100.0,0.0,0.0
548.0,24.338,100.0,0.0,0.0
548.0,24.282,100.0,0.0,0.0
548.0,24.242,100.0,0.0,0.0
547.0,24.255,100.0,0.0,0.0
548.0,24.156,100.0,0.0,0.0
546.0,24.17,100.0,0.0,0.0
546.0,24.226,100.0,0.0,0.0
553.0,24.113,100.0,0.0,0.0
552.0,24.113,100.0,0.0,0.0
557.0,24.17,100.0,0.0,0.0
557.0,24.071,100.0,0.0,0.0
552.0,24.087,100.0,0.0,0.0
553.0,24.087,100.0,0.0,0.0
554.0,24.044,100.0,0.0,0.0
553.0,24.143,100.0,0.0,0.0
548.0,24.143,100.0,0.0,0.0
548.0,24.1,100.0,0.0,0.0
548.0,24.113,100.0,0.0,0.0
548.0,24.127,100.0,0.0,0.0
548.0,24.127,100.0,0.0,0.0
548.0,24.17,100.0,0.0,0.0
548.0,24.113,100.0,0.0,0.0
548.0,24.044,100.0,0.0,0.0
548.0,24.071,100.0,0.0,0.0
548.0,23.945,100.0,0.0,0.0
548.0,24.071,100.0,0.0,0.0
548.0,24.015,100.0,0.0,0.0
548.0,24.057,100.0,0.0,0.0
548.0,24.015,100.0,0.0,0.0
548.0,23.988,100.0,0.0,0.0
548.0,23.932,100.0,0.0,0.0
548.0,24.015,100.0,0.0,0.0
548.0,24.001,100.0,0.0,0.0
548.0,24.015,100.0,0.0,0.0
548.0,23.932,100.0,0.0,0.0
548.0,23.886,100.0,0.0,0.0
548.0,23.959,100.0,0.0,0.0
548.0,23.919,100.0,0.0,0.0
548.0,23.9,100.0,0.0,0.0
548.0,23.932,100.0,0.0,0.0
548.0,23.932,100.0,0.0,0.0
548.0,23.932,100.0,0.0,0.0
548.0,23.932,100.0,0.0,0.0
548.0,23.844,100.0,0.0,0.0
548.0,23.83,100.0,0.0,0.0
528.0,23.919,100.0,0.0,0.0
527.0,23.886,100.0,0.0,0.0
520.0,23.873,100.0,0.0,0.0
520.0,23.83,100.0,0.0,0.0
524.0,23.886,100.0,0.0,0.0
